"date","close","open","high","low","volume","change"
"06/01/2023","4.541,50","4.477,20","4.483,00","4.444,00","0,55K","0,06"
"05/01/2023","4.538,60","4.472,00","4.477,42","4.444,00","1,07K","0,06"
"04/01/2023","4.536,00","4.460,00","4.472,00","4.444,00","1,04K","1,70"
"03/01/2023","4.460,00","4.461,50","4.464,91","4.444,00","0,92K","-0,03"
"02/01/2023","4.461,50","4.444,00","4.463,23","4.444,00","0,40K","0,01"
"30/12/2022","4.461,00","4.458,00","4.461,00","4.443,00","0,50K","0,07"
"29/12/2022","4.458,00","4.456,00","4.458,00","4.440,00","0,49K","0,04"
"28/12/2022","4.456,00","4.448,00","4.456,00","4.440,00","0,50K","0,18"
"27/12/2022","4.448,00","4.444,00","4.449,36","4.351,61","0,52K","0,09"
"26/12/2022","4.444,00","4.433,00","4.444,00","4.430,00","0,44K","0,20"
"23/12/2022","4.435,00","4.430,00","4.438,37","4.420,00","0,55K","0,11"
"22/12/2022","4.430,00","4.425,00","4.430,42","4.420,00","0,54K","0,11"
"21/12/2022","4.425,00","4.412,00","4.427,34","4.410,00","0,59K","0,29"
"20/12/2022","4.412,00","4.407,20","4.419,43","4.400,00","0,76K","0,11"
"19/12/2022","4.407,20","4.395,00","4.410,19","4.395,00","0,56K","0,00"
"16/12/2022","4.407,20","4.405,00","4.407,20","4.395,00","1,07K","0,05"
"15/12/2022","4.405,00","4.396,00","4.405,00","4.390,00","0,94K","0,20"
"14/12/2022","4.396,00","4.398,50","4.398,50","4.380,00","0,85K","-0,06"
"13/12/2022","4.398,50","4.387,45","4.398,50","4.360,00","0,89K","0,19"
"12/12/2022","4.390,00","4.383,52","4.390,00","4.381,52","0,51K","0,00"
"09/12/2022","4.390,00","4.355,00","4.390,00","4.355,00","1,11K","0,80"
"08/12/2022","4.355,00","4.375,00","4.379,32","4.350,65","1,07K","-0,46"
"07/12/2022","4.375,00","4.365,00","4.375,00","4.345,00","1,07K","0,23"
"06/12/2022","4.365,00","4.361,68","4.367,18","4.345,00","1,10K","-0,05"
"05/12/2022","4.367,00","4.350,00","4.367,00","4.345,00","0,81K","0,18"
"02/12/2022","4.359,00","4.359,00","4.359,00","4.343,00","0,95K","0,00"
"01/12/2022","4.359,00","4.348,00","4.359,00","4.340,00","1,00K","0,25"
"30/11/2022","4.348,00","4.350,00","4.350,00","4.335,00","0,98K","-0,05"
"29/11/2022","4.350,00","4.352,00","4.352,00","4.331,00","1,04K","-0,05"
"28/11/2022","4.352,00","4.305,50","4.352,00","4.222,00","0,63K","0,79"
"25/11/2022","4.317,70","4.327,50","4.328,00","4.222,00","1,05K","-0,23"
"24/11/2022","4.327,50","4.318,00","4.327,50","4.222,00","1,09K","0,22"
"23/11/2022","4.318,00","4.315,70","4.318,99","4.222,00","1,08K","0,05"
"22/11/2022","4.315,70","4.303,50","4.317,00","4.222,00","1,04K","0,28"
"21/11/2022","4.303,50","4.302,40","4.307,43","4.222,00","0,66K","0,15"
"18/11/2022","4.297,00","4.293,50","4.302,40","4.222,00","1,06K","0,08"
"17/11/2022","4.293,50","4.292,00","4.295,43","4.222,00","0,71K","0,09"
"16/11/2022","4.289,70","4.290,00","4.292,00","4.222,00","0,57K","-0,01"
"15/11/2022","4.290,00","4.288,50","4.290,00","4.222,00","0,97K","0,03"
"14/11/2022","4.288,50","4.222,00","4.288,50","4.222,00","0,67K","0,20"
"11/11/2022","4.280,00","4.267,16","4.282,00","4.222,00","0,94K","0,30"
"10/11/2022","4.267,16","4.279,00","4.285,00","4.222,00","1,08K","-0,28"
"09/11/2022","4.279,00","4.262,18","4.279,00","4.222,00","1,08K","0,39"
"08/11/2022","4.262,18","4.258,35","4.275,00","4.222,00","1,09K","0,09"
"07/11/2022","4.258,35","4.222,00","4.270,00","4.222,00","0,70K","-0,27"
"04/11/2022","4.270,00","4.260,00","4.270,00","4.222,00","0,59K","0,23"
"03/11/2022","4.260,00","4.260,00","4.260,00","4.222,00","1,00K","0,00"
"02/11/2022","4.260,00","4.255,00","4.260,00","4.222,00","0,93K","0,12"
"01/11/2022","4.255,00","4.255,00","4.255,00","4.222,00","0,99K","0,00"
"31/10/2022","4.255,00","4.249,67","4.260,00","4.222,00","0,67K","0,09"
"28/10/2022","4.251,00","4.247,00","4.251,00","4.222,00","0,65K","0,09"
"27/10/2022","4.247,00","4.236,00","4.247,00","4.222,00","1,08K","-0,49"
"26/10/2022","4.268,00","4.242,00","4.248,00","4.218,78","1,09K","0,61"
"25/10/2022","4.242,00","4.243,50","4.243,50","4.208,00","1,02K","0,81"
"24/10/2022","4.208,00","4.209,00","4.243,50","4.208,00","0,43K","-1,22"
"21/10/2022","4.260,00","4.232,50","4.237,00","4.209,00","1,10K","-0,15"
"20/10/2022","4.266,25","4.237,50","4.237,50","4.205,00","1,02K","0,68"
"19/10/2022","4.237,50","4.209,00","4.237,50","4.195,00","0,86K","-0,52"
"18/10/2022","4.259,75","4.222,00","4.222,00","4.195,00","1,06K","-0,03"
"17/10/2022","4.261,00","4.208,50","4.230,00","4.190,00","0,74K","-0,09"
"14/10/2022","4.265,00","4.203,50","4.230,00","4.190,00","1,05K","0,31"
"13/10/2022","4.251,75","4.212,00","4.217,60","4.189,00","1,09K","-0,10"
"12/10/2022","4.256,00","4.213,00","4.213,00","4.185,00","1,05K","-0,01"
